job_name,req_mem,req_cpus,req_gpus,req_duration,actual_duration,submission_time,start_time,end_time,ran_on
job790,1000000,1,0,84600,25,1609550846,1609552924,1609552949,computeNode3
job794,1000000,1,0,84600,117,1609550846,1609552864,1609552981,computeNode4
job633,10000000,1,0,86400,6,1609547838,1609552981,1609552987,computeNode4
job645,10000000,1,0,86400,5,1609547838,1609552987,1609552992,computeNode4
job644,10000000,1,0,86400,5,1609547838,1609552992,1609552997,computeNode4
job643,10000000,1,0,86400,5,1609547838,1609552997,1609553002,computeNode4
job642,10000000,1,0,86400,5,1609547838,1609553002,1609553007,computeNode4
job641,10000000,1,0,86400,5,1609547838,1609553007,1609553012,computeNode4
job640,10000000,1,0,86400,5,1609547838,1609553012,1609553017,computeNode4
job788,1000000,1,0,84600,73,1609550846,1609552949,1609553022,computeNode3
job639,10000000,1,0,86400,5,1609547838,1609553017,1609553022,computeNode4
job638,10000000,1,0,86400,5,1609547838,1609553022,1609553027,computeNode4
job636,10000000,1,0,86400,5,1609547838,1609553027,1609553032,computeNode4
job782,1000000,1,0,84600,14,1609550846,1609553022,1609553036,computeNode3
job635,10000000,1,0,86400,6,1609547838,1609553032,1609553038,computeNode4
job634,10000000,1,0,86400,6,1609547838,1609553038,1609553044,computeNode4
job780,1000000,1,0,84600,11,1609550846,1609553036,1609553047,computeNode3
job632,10000000,1,0,86400,6,1609547838,1609553044,1609553050,computeNode4
job631,10000000,1,0,86400,6,1609547838,1609553050,1609553056,computeNode4
job630,10000000,1,0,86400,6,1609547838,1609553056,1609553062,computeNode4
job628,10000000,1,0,86400,6,1609547838,1609553062,1609553068,computeNode4
job627,10000000,1,0,86400,6,1609547838,1609553068,1609553074,computeNode4
job626,10000000,1,0,86400,6,1609547838,1609553074,1609553080,computeNode4
job653,10000000,1,0,86400,8,1609547901,1609553080,1609553088,computeNode4
job649,10000000,1,0,86400,9,1609547901,1609553088,1609553097,computeNode4
job657,10000000,1,0,86400,11,1609547901,1609553097,1609553108,computeNode4
job661,10000000,1,0,86400,8,1609547901,1609553108,1609553116,computeNode4
job665,10000000,1,0,86400,11,1609547901,1609553116,1609553127,computeNode4
job47,84000000,6,0,1036800,1036801,1608516328,1608516328,1609553128,computeNode5
job662,10000000,1,0,86400,8,1609547901,1609553128,1609553136,computeNode5
job660,10000000,1,0,86400,8,1609547901,1609553128,1609553136,computeNode5
job664,10000000,1,0,86400,11,1609547901,1609553127,1609553138,computeNode4
job663,10000000,1,0,86400,11,1609547901,1609553128,1609553139,computeNode5
job659,10000000,1,0,86400,11,1609547901,1609553128,1609553139,computeNode5
job658,10000000,1,0,86400,11,1609547901,1609553128,1609553139,computeNode5
job656,10000000,1,0,86400,11,1609547901,1609553128,1609553139,computeNode5
job652,10000000,1,0,86400,9,1609547901,1609553138,1609553147,computeNode4
job655,10000000,1,0,86400,12,1609547901,1609553136,1609553148,computeNode5
job654,10000000,1,0,86400,12,1609547901,1609553136,1609553148,computeNode5
job648,10000000,1,0,86400,9,1609547901,1609553139,1609553148,computeNode5
job647,10000000,1,0,86400,9,1609547901,1609553139,1609553148,computeNode5
job651,10000000,1,0,86400,10,1609547901,1609553139,1609553149,computeNode5
job650,10000000,1,0,86400,10,1609547901,1609553139,1609553149,computeNode5
job677,10000000,1,0,86400,6,1609547935,1609553148,1609553154,computeNode5
job673,10000000,1,0,86400,7,1609547935,1609553148,1609553155,computeNode5
job683,10000000,1,0,86400,6,1609547935,1609553149,1609553155,computeNode5
job646,10000000,1,0,86400,11,1609547901,1609553147,1609553158,computeNode4
job685,10000000,1,0,86400,10,1609547935,1609553148,1609553158,computeNode5
job669,10000000,1,0,86400,11,1609547935,1609553148,1609553159,computeNode5
job684,10000000,1,0,86400,10,1609547935,1609553149,1609553159,computeNode5
job682,10000000,1,0,86400,6,1609547935,1609553154,1609553160,computeNode5
job681,10000000,1,0,86400,6,1609547935,1609553155,1609553161,computeNode5
job680,10000000,1,0,86400,6,1609547935,1609553155,1609553161,computeNode5
job678,10000000,1,0,86400,6,1609547935,1609553158,1609553164,computeNode5
job679,10000000,1,0,86400,9,1609547935,1609553158,1609553167,computeNode4
job674,10000000,1,0,86400,7,1609547935,1609553160,1609553167,computeNode5
job671,10000000,1,0,86400,7,1609547935,1609553161,1609553168,computeNode5
job676,10000000,1,0,86400,10,1609547935,1609553159,1609553169,computeNode5
job675,10000000,1,0,86400,11,1609547935,1609553159,1609553170,computeNode5
job670,10000000,1,0,86400,7,1609547935,1609553164,1609553171,computeNode5
job672,10000000,1,0,86400,11,1609547935,1609553161,1609553172,computeNode5
job668,10000000,1,0,86400,7,1609547935,1609553167,1609553174,computeNode4
job666,10000000,1,0,86400,7,1609547935,1609553168,1609553175,computeNode5
