job_name,req_mem,req_cpus,req_gpus,req_duration,actual_duration,submission_time,start_time,end_time,ran_on
job184,16000000,16,0,172740,50067,1609438305,1613132435,1613182502,bigMemNode1
job185,16000000,16,0,172740,50346,1609438305,1613132435,1613182781,computeNode5
job183,16000000,16,0,172740,50434,1609438305,1613132435,1613182869,bigMemNode2
job188,16000000,16,0,172740,53804,1609438306,1613139108,1613192912,gpuNode1
job187,16000000,16,0,172740,54085,1609438306,1613139108,1613193193,gpuNode1
job193,16000000,16,0,172740,44788,1609438308,1613164772,1613209560,computeNode5
job186,16000000,16,0,172740,49746,1609438306,1613164772,1613214518,computeNode5
job192,16000000,16,0,172740,44097,1609438308,1613175535,1613219632,computeNode2
job194,16000000,16,0,172740,60266,1609438308,1613164772,1613225038,computeNode5
job189,16000000,16,0,172740,46096,1609438308,1613182502,1613228598,bigMemNode1
job190,16000000,16,0,172740,54427,1609438308,1613182413,1613236840,computeNode4
job136,32000000,32,0,216000,196279,1609399926,1613046095,1613242374,gpuNode1
job198,16000000,16,0,172740,59692,1609438310,1613182869,1613242561,bigMemNode2
job195,16000000,16,0,172740,59840,1609438309,1613182781,1613242621,computeNode5
job135,40000000,40,0,216000,216021,1609395825,1613030122,1613246122,computeNode1
job197,16000000,16,0,172740,60315,1609438310,1613192912,1613253227,gpuNode1
job196,16000000,16,0,172740,60101,1609438310,1613193193,1613253294,gpuNode1
job134,40000000,40,0,216000,216021,1609395825,1613039837,1613255837,computeNode4
job133,40000000,40,0,216000,216029,1609395825,1613046095,1613262095,computeNode2
job204,16000000,16,0,172740,59898,1609438311,1613209560,1613269458,computeNode5
job203,16000000,16,0,172740,59986,1609438311,1613214518,1613274504,computeNode5
job202,16000000,16,0,172740,59778,1609438311,1613219632,1613279410,computeNode2
job176,32000000,32,0,216000,161604,1609434377,1613119249,1613280853,computeNode3
job201,16000000,16,0,172740,59359,1609438311,1613225038,1613284397,computeNode5
job200,16000000,16,0,172740,59121,1609438311,1613228598,1613287719,bigMemNode1
job233,8000000,8,0,1296000,4,1609450356,1613287719,1613287723,bigMemNode1
job232,8000000,8,0,1296000,4,1609450356,1613287719,1613287723,bigMemNode2
job231,8000000,8,0,1296000,4,1609450356,1613287723,1613287727,bigMemNode1
job237,8000000,8,0,1296000,4,1609450357,1613287723,1613287727,bigMemNode2
job236,8000000,8,0,1296000,4,1609450357,1613287727,1613287731,bigMemNode1
job235,8000000,8,0,1296000,4,1609450357,1613287727,1613287731,bigMemNode2
job234,8000000,8,0,1296000,4,1609450357,1613287731,1613287735,bigMemNode1
job240,8000000,8,0,1296000,4,1609450358,1613287731,1613287735,bigMemNode2
job239,8000000,8,0,1296000,4,1609450358,1613287735,1613287739,bigMemNode1
job238,8000000,8,0,1296000,4,1609450358,1613287735,1613287739,bigMemNode2
job241,8000000,8,0,1296000,4,1609450360,1613287739,1613287743,bigMemNode1
job246,8000000,8,0,1296000,4,1609450361,1613287739,1613287743,bigMemNode2
job245,8000000,8,0,1296000,4,1609450361,1613287743,1613287747,bigMemNode1
job244,8000000,8,0,1296000,4,1609450361,1613287743,1613287747,bigMemNode2
job243,8000000,8,0,1296000,4,1609450361,1613287747,1613287751,bigMemNode1
job242,8000000,8,0,1296000,4,1609450361,1613287747,1613287751,bigMemNode2
job250,8000000,8,0,1296000,4,1609450362,1613287751,1613287755,bigMemNode1
job249,8000000,8,0,1296000,4,1609450362,1613287751,1613287755,bigMemNode2
job248,8000000,8,0,1296000,4,1609450362,1613287755,1613287759,bigMemNode1
job247,8000000,8,0,1296000,4,1609450362,1613287755,1613287759,bigMemNode2
job251,8000000,8,0,1296000,4,1609450363,1613287759,1613287763,bigMemNode1
job199,16000000,16,0,172740,60142,1609438311,1613236840,1613296982,computeNode4
job209,16000000,16,0,172740,58772,1609438312,1613242374,1613301146,gpuNode1
job208,16000000,16,0,172740,58880,1609438312,1613242374,1613301254,gpuNode1
job207,16000000,16,0,172740,59277,1609438312,1613242561,1613301838,bigMemNode2
job214,16000000,16,0,172740,56187,1609438313,1613246122,1613302309,computeNode1
job215,16000000,16,0,172740,56503,1609438313,1613246122,1613302625,computeNode1
job206,16000000,16,0,172740,60207,1609438312,1613242621,1613302828,computeNode5
job256,32000000,32,0,216000,3142,1609453797,1613301254,1613304396,gpuNode1
job205,16000000,16,0,172740,59824,1609438312,1613246122,1613305946,computeNode1
job211,16000000,16,0,172740,52201,1609438313,1613255837,1613308038,computeNode4
job212,16000000,16,0,172740,55315,1609438313,1613253294,1613308609,gpuNode1
job213,16000000,16,0,172740,56889,1609438313,1613253227,1613310116,gpuNode1
job210,16000000,16,0,172740,57371,1609438313,1613255837,1613313208,computeNode4
job219,16000000,16,0,172740,58073,1609438314,1613255837,1613313910,computeNode4
job217,16000000,16,0,172740,57570,1609438314,1613262095,1613319665,computeNode2
job216,16000000,16,0,172740,57655,1609438314,1613262095,1613319750,computeNode2
job218,16000000,16,0,172740,58269,1609438314,1613262095,1613320364,computeNode2
job191,16000000,16,0,172740,150410,1609438308,1613176688,1613327098,computeNode1
job224,16000000,16,0,172740,59397,1609438315,1613269458,1613328855,computeNode5
job223,16000000,16,0,172740,58096,1609438315,1613274504,1613332600,computeNode5
job222,16000000,16,0,172740,58393,1609438315,1613279410,1613337803,computeNode2
job220,16000000,16,0,172740,57001,1609438315,1613280853,1613337854,computeNode3
job221,16000000,16,0,172740,58341,1609438315,1613280853,1613339194,computeNode3
job283,256000000,1,0,342000,1396,1609511174,1613337803,1613339199,bigMemNode1
job306,70000000,16,0,10800,4787,1609519430,1613337854,1613342641,computeNode3
job307,20000000,20,0,518400,3,1609519474,1613342641,1613342644,computeNode3
job226,16000000,16,0,172740,59081,1609438316,1613284397,1613343478,computeNode5
job284,256000000,1,0,342000,6412,1609512913,1613337803,1613344215,bigMemNode1
job270,4000000,1,0,90000,8418,1609481868,1613337803,1613346221,computeNode1
job225,16000000,16,0,172740,59408,1609438316,1613287719,1613347127,bigMemNode1
job331,10000000,1,2,360,360,1609529674,1613347127,1613347487,gpuNode1
job330,10000000,1,2,360,360,1609529674,1613347127,1613347487,gpuNode1
job329,10000000,1,2,360,360,1609529674,1613347127,1613347487,gpuNode1
job328,10000000,1,2,360,390,1609529674,1613347127,1613347487,gpuNode1
job327,10000000,1,2,360,383,1609529674,1613347487,1613347847,gpuNode1
job334,10000000,1,2,360,380,1609529679,1613347487,1613347847,gpuNode1
job333,10000000,1,2,360,380,1609529679,1613347487,1613347847,gpuNode1
job332,10000000,1,2,360,360,1609529679,1613347487,1613347847,gpuNode1
job336,10000000,1,2,360,380,1609529680,1613347847,1613348207,gpuNode1
job335,10000000,1,2,360,380,1609529680,1613347847,1613348207,gpuNode1
job338,10000000,1,2,360,379,1609529685,1613347847,1613348207,gpuNode1
job337,10000000,1,2,360,380,1609529685,1613347847,1613348207,gpuNode1
job339,10000000,1,2,360,114,1609529686,1613348207,1613348321,gpuNode1
job340,10000000,1,2,360,116,1609529686,1613348207,1613348323,gpuNode1
job341,10000000,1,2,360,117,1609529687,1613348207,1613348324,gpuNode1
job342,10000000,1,2,360,118,1609529697,1613348207,1613348325,gpuNode1
job344,10000000,1,2,360,59,1609529698,1613348321,1613348380,gpuNode1
job343,10000000,1,2,360,119,1609529698,1613348323,1613348442,gpuNode1
job324,20000000,1,0,82800,1616,1609529543,1613347127,1613348743,computeNode5
job323,20000000,1,0,82800,1687,1609529543,1613347127,1613348814,computeNode5
job305,32000000,1,0,82800,12980,1609517261,1613337803,1613350783,computeNode5
job325,20000000,1,0,82800,3975,1609529586,1613347127,1613351102,bigMemNode1
job326,20000000,1,0,82800,4158,1609529586,1613347127,1613351285,computeNode5
job273,50000000,1,0,72000,15843,1609507217,1613337803,1613353646,computeNode5
job304,16000000,1,0,86340,16759,1609517078,1613337803,1613354562,computeNode5
job299,16000000,1,0,86340,19625,1609517077,1613337803,1613357428,computeNode4
job300,16000000,1,0,86340,19691,1609517077,1613337803,1613357494,computeNode4
job298,16000000,1,0,86340,20167,1609517077,1613337803,1613357970,computeNode4
job297,16000000,1,0,86340,20202,1609517077,1613337803,1613358005,computeNode5
job301,16000000,1,0,86340,20304,1609517077,1613337803,1613358107,computeNode1
job302,16000000,1,0,86340,20429,1609517078,1613337803,1613358232,computeNode5
job303,16000000,1,0,86340,21758,1609517078,1613337803,1613359561,computeNode5
job295,16000000,1,0,86340,23071,1609517076,1613337803,1613360874,computeNode1
job296,16000000,1,0,86340,23113,1609517076,1613337803,1613360916,computeNode1
job267,50000000,4,0,72000,26843,1609467027,1613337803,1613364646,computeNode1
job179,32000000,32,0,345600,242060,1609438095,1613132435,1613374495,computeNode3
job259,50000000,50,0,85800,68532,1609459386,1613310116,1613378648,gpuNode1
job348,10000000,1,2,21960,13980,1609530729,1613374495,1613388475,gpuNode1
job310,16000000,16,0,172740,45862,1609519489,1613342644,1613388506,computeNode3
job311,16000000,16,0,172740,45914,1609519489,1613342644,1613388558,computeNode3
job350,10000000,1,2,21960,14100,1609530730,1613374495,1613388595,gpuNode1
job346,10000000,1,2,21600,14173,1609530729,1613374495,1613388668,gpuNode1
job309,16000000,16,0,172740,47628,1609519489,1613343478,1613391106,computeNode5
job258,4000000,1,0,90000,90000,1609459187,1613301254,1613391254,computeNode4
job257,4000000,1,0,90000,90011,1609459144,1613301254,1613391254,computeNode4
job347,10000000,1,2,21960,17354,1609530729,1613374495,1613391849,gpuNode1
job281,50000000,1,0,72000,54440,1609507217,1613337803,1613392243,computeNode1
job274,50000000,1,0,72000,54440,1609507217,1613337803,1613392243,computeNode4
job275,50000000,1,0,72000,54440,1609507217,1613337803,1613392243,computeNode4
job279,50000000,1,0,72000,54440,1609507217,1613337803,1613392243,computeNode2
job276,50000000,1,0,72000,54440,1609507217,1613337803,1613392243,computeNode4
job277,50000000,1,0,72000,54440,1609507217,1613337803,1613392243,computeNode2
job278,50000000,1,0,72000,54440,1609507217,1613337803,1613392243,computeNode2
job280,50000000,1,0,72000,54440,1609507217,1613337803,1613392243,computeNode2
job282,50000000,1,0,72000,54440,1609507217,1613337803,1613392243,computeNode1
job308,16000000,16,0,172740,49128,1609519489,1613347127,1613396255,bigMemNode1
job261,50000000,50,0,85800,85825,1609459395,1613313910,1613399710,computeNode4
job349,10000000,1,2,21960,14143,1609530730,1613388475,1613402618,gpuNode1
job265,50000000,50,0,85800,64936,1609459463,1613337803,1613402739,computeNode2
job352,10000000,1,2,21960,14107,1609532240,1613388668,1613402775,gpuNode1
job351,10000000,1,2,21600,14191,1609532240,1613388595,1613402786,gpuNode1
